name,long,lat,address,nb_items,equipment,id,url,facilities,about
Achilles Crescent Reserve,174.795749627387,-36.8139374812371,"13 Achilles Crescent, Auckland",3,Module-Small-Jnr<br>Seesaw-Spring<br>Swing,10960,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10113,"playground, toilets",Local Park - Leisure
Aitken Reserve,174.752068856474,-36.8676251378544,"5A Aitken Terrace, Auckland",2,Module<br>Swing T bar,20869,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10,Playground,Local small open space.
Alan Reserve,174.617711401182,-36.8637779072271,"Alan Avenue, Auckland",3,Modern Modular<br>Spica<br>Swing Double,22672,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10129,playground,Local Park - Leisure
Alexander Recreation Reserve,174.744704649051,-36.435075517609,"42 Alexander Road, Auckland",1,Swing,23515,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10144,playground,
Algies Bay Reserve,174.743716408903,-36.4334504491242,"30 Gordon Craig Place, Auckland",4,Climbing module - pirate tower<br>Seasaw<br>Slide Module-hex tower&mega slide<br>Swing snr,11232,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10147,"BBQ,playground, toilets",
Alice Park,174.898470406018,-37.0261830953463,"21R Beaumonts Way, Auckland",3,Playground-Timber sawn & concrete<br>Moden Modular-Small<br>Spatial Nets,21392,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10149,playground,Local Park - Leisure
Allenby Reserve - Narrow Neck,174.801094646374,-36.8219565051275,"R 1 Allenby Avenue, North Shore",4,Overhead Event<br>Seesaw-Spring<br>Slide<br>Swing,12941,,,
Amanda Reserve,174.729618128757,-36.4239667085073,"2 Amanda Lane, Snells Beach",2,Module-Medium<br>Swing,22351,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10156,playground,
Ambrico Reserve,174.680649211236,-36.9115577555014,"Ambrico Place, Auckland",4,Junior module<br>Modern Modular<br>Springy Animal<br>Swing Double,22674,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10159,playground,Local Park - Leisure
Anarahi Park,174.770101967706,-36.9446633384991,"16R Waterlea Avenue, Auckland",2,Modern modular (large)<br>Swing unit,21308,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10164,playground,Local Park - Leisure
Anderson Park,174.708645914288,-36.8922800010871,"19A Preston Avenue, Auckland",2,Dome<br>Swings,10219,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10167,,Local Park - Leisure
Anderson Park,174.708645914288,-36.8922800010871,"19A Preston Avenue, Auckland",2,Dome<br>Swings,10219,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=70,Playground,Local green open space.
Anderson Park (Grand Vue Road Reserve),174.89301277276,-37.012757752478,"58R Grande Vue Road, Auckland",2,Modern Modular (Large)<br>Swing,20570,,,
Annison Green,174.642011521303,-36.9257891974947,"5 Annison Avenue, Auckland",4,Modern Modular<br>Single Seesaw<br>Single Slide<br>Swing Double,22675,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10172,playground,Local Park - Leisure
Aramoana Reserve,174.785068063481,-36.8171045564736,"76 Aramoana Avenue, Auckland",2,Slide<br>Swing,20447,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10180,playground,Local Park - Coastal
Arch Hill Scenic Reserve,174.736464041858,-36.8677322865492,"89 Ivanhoe Road, Auckland",3,Dome<br>Module<br>Swings,21356,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=100,There are two mountain bike trails in the reserve for riders to enjoy mountain biking in the heart of the city. 'Training Wheels' is a beginner trail for families and riders of all ages. 'Twist and Shout' is an intermediate trail for more advanced riders.,"Scenic reserve with walkway linking Ivanhoe Road, Great North Road and Bond Street."
Ariki Reserve,174.729510821591,-36.4179669470964,"Ariki Drive, Auckland",1,Swing,22354,,,
Arline Schutz Park (Halver Park),174.900753026586,-37.0212236783548,"39 Halver Road, Auckland",2,Modern Modular (Small)<br>Swing,20812,,,
